event_id,reporting_year,trust_code,trust_name,region,site_code,ward_type,bed_id,discharge_ts,cleaning_start_ts,cleaning_complete_ts,maintenance_clear_ts,equipment_ready_ts,isolation_clear_ts,bed_ready_ts,turnaround_target_minutes,turnaround_minutes,turnaround_bucket,within_target,primary_blocker,queue_delay_minutes,cleaning_minutes,porter_delay_minutes,equipment_delay_minutes,maintenance_delay_minutes,isolation_delay_minutes,clinical_hold_minutes
BED-RJ6-2023-00089,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,General Ward,RJ6-03-0089,2024-02-04T06:30:00,2024-02-04T07:51:00,2024-02-04T08:39:00,2024-02-04T08:39:00,2024-02-04T08:39:00,2024-02-04T08:39:00,2024-02-04T08:39:00,120,129,2-4 hours,No,Cleaning queue,81,48,0,0,0,0,0
BED-RJ6-2023-00090,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,General Ward,RJ6-03-0090,2023-10-30T16:30:00,2023-10-30T17:50:00,2023-10-30T18:25:00,2023-10-30T18:25:00,2023-10-30T18:25:00,2023-10-30T18:25:00,2023-10-30T18:25:00,120,115,1-2 hours,Yes,Cleaning queue,80,35,0,0,0,0,0
BED-RJ6-2023-00091,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-01,General Ward,RJ6-01-0091,2024-03-05T05:30:00,2024-03-05T05:35:00,2024-03-05T06:07:00,2024-03-05T06:07:00,2024-03-05T06:43:00,2024-03-05T08:36:00,2024-03-05T08:36:00,120,186,2-4 hours,No,Equipment not ready,5,32,0,36,0,149,0
BED-RJ6-2023-00092,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-02,Emergency Observation,RJ6-02-0092,2023-10-03T13:00:00,2023-10-03T13:16:00,2023-10-03T13:53:00,2023-10-03T13:53:00,2023-10-03T13:53:00,2023-10-03T13:53:00,2023-10-03T13:53:00,120,53,Under 1 hour,Yes,No major blocker,16,37,0,0,0,0,0
BED-RJ6-2023-00093,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,General Ward,RJ6-03-0093,2024-02-03T21:50:00,2024-02-04T00:22:00,2024-02-04T01:10:00,2024-02-04T01:10:00,2024-02-04T01:10:00,2024-02-04T01:10:00,2024-02-04T01:10:00,120,200,2-4 hours,No,Cleaning queue,79,48,6,0,0,0,67
BED-RJ6-2023-00094,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-01,Medical Ward,RJ6-01-0094,2023-11-26T17:20:00,2023-11-26T18:00:00,2023-11-26T18:30:00,2023-11-26T20:27:00,2023-11-26T18:30:00,2023-11-26T18:30:00,2023-11-26T20:27:00,120,187,2-4 hours,No,Maintenance clearance,16,30,24,0,117,0,0
BED-RJ6-2023-00095,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-04,General Ward,RJ6-04-0095,2023-07-11T23:40:00,2023-07-12T00:24:00,2023-07-12T00:49:00,2023-07-12T00:49:00,2023-07-12T00:49:00,2023-07-12T00:49:00,2023-07-12T00:49:00,120,69,1-2 hours,Yes,No major blocker,19,25,25,0,0,0,0
BED-RJ6-2023-00096,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,General Ward,RJ6-03-0096,2023-10-22T16:20:00,2023-10-22T17:28:00,2023-10-22T18:07:00,2023-10-22T18:07:00,2023-10-22T18:07:00,2023-10-22T18:07:00,2023-10-22T18:07:00,120,107,1-2 hours,Yes,Awaiting porter / room release,17,39,51,0,0,0,0
BED-RJ6-2023-00097,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-02,General Ward,RJ6-02-0097,2023-07-16T15:20:00,2023-07-16T17:32:00,2023-07-16T18:21:00,2023-07-16T18:21:00,2023-07-16T18:21:00,2023-07-16T18:21:00,2023-07-16T18:21:00,120,181,2-4 hours,No,Awaiting porter / room release,15,49,35,0,0,0,82
BED-RJ6-2023-00098,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-04,General Ward,RJ6-04-0098,2023-04-24T06:50:00,2023-04-24T08:33:00,2023-04-24T08:54:00,2023-04-24T08:54:00,2023-04-24T08:54:00,2023-04-24T08:54:00,2023-04-24T08:54:00,120,124,2-4 hours,No,Cleaning queue,81,21,22,0,0,0,0
BED-RJ6-2023-00099,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,General Ward,RJ6-03-0099,2024-03-19T20:30:00,2024-03-19T20:39:00,2024-03-19T21:03:00,2024-03-19T22:50:00,2024-03-19T21:03:00,2024-03-19T21:03:00,2024-03-19T22:50:00,120,140,2-4 hours,No,No major blocker,9,24,0,0,107,0,0
BED-RJ6-2023-00100,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-04,Medical Ward,RJ6-04-0100,2023-07-17T09:20:00,2023-07-17T10:59:00,2023-07-17T11:52:00,2023-07-17T11:52:00,2023-07-17T11:52:00,2023-07-17T14:29:00,2023-07-17T14:29:00,120,309,4-8 hours,No,No major blocker,5,53,16,0,0,157,78
BED-RJ6-2023-00101,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-02,Surgical Ward,RJ6-02-0101,2023-12-15T08:00:00,2023-12-15T08:50:00,2023-12-15T09:43:00,2023-12-15T09:43:00,2023-12-15T09:43:00,2023-12-15T09:43:00,2023-12-15T09:43:00,120,103,1-2 hours,Yes,Awaiting porter / room release,18,53,32,0,0,0,0
BED-RJ6-2023-00102,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,Medical Ward,RJ6-03-0102,2024-01-12T11:40:00,2024-01-12T12:04:00,2024-01-12T12:34:00,2024-01-12T12:34:00,2024-01-12T12:34:00,2024-01-12T12:34:00,2024-01-12T12:34:00,120,54,Under 1 hour,Yes,No major blocker,24,30,0,0,0,0,0
BED-RJ6-2023-00103,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,General Ward,RJ6-03-0103,2023-12-17T14:50:00,2023-12-17T15:00:00,2023-12-17T15:40:00,2023-12-17T15:40:00,2023-12-17T15:40:00,2023-12-17T18:27:00,2023-12-17T18:27:00,120,217,2-4 hours,No,Deep clean / isolation reset,5,40,5,0,0,167,0
BED-RJ6-2023-00104,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,General Ward,RJ6-03-0104,2024-01-08T08:30:00,2024-01-08T09:42:00,2024-01-08T10:00:00,2024-01-08T10:00:00,2024-01-08T10:00:00,2024-01-08T10:00:00,2024-01-08T10:00:00,120,90,1-2 hours,Yes,Clinical hold / late discharge,6,18,0,0,0,0,66
BED-RJ6-2023-00105,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-01,Surgical Ward,RJ6-01-0105,2023-06-06T04:00:00,2023-06-06T06:03:00,2023-06-06T06:29:00,2023-06-06T06:29:00,2023-06-06T06:29:00,2023-06-06T06:29:00,2023-06-06T06:29:00,120,149,2-4 hours,No,Clinical hold / late discharge,24,26,0,0,0,0,99
BED-RJ6-2023-00106,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-01,Medical Ward,RJ6-01-0106,2023-06-19T13:40:00,2023-06-19T13:53:00,2023-06-19T14:16:00,2023-06-19T17:23:00,2023-06-19T14:16:00,2023-06-19T14:16:00,2023-06-19T17:23:00,120,223,2-4 hours,No,Maintenance clearance,13,23,0,0,187,0,0
BED-RJ6-2023-00107,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-02,General Ward,RJ6-02-0107,2023-10-12T17:50:00,2023-10-12T18:01:00,2023-10-12T18:52:00,2023-10-12T18:52:00,2023-10-12T18:52:00,2023-10-12T18:52:00,2023-10-12T18:52:00,120,62,1-2 hours,Yes,No major blocker,11,51,0,0,0,0,0
BED-RJ6-2023-00108,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-01,General Ward,RJ6-01-0108,2024-03-12T22:00:00,2024-03-12T22:23:00,2024-03-12T22:55:00,2024-03-12T22:55:00,2024-03-12T22:55:00,2024-03-12T22:55:00,2024-03-12T22:55:00,120,55,Under 1 hour,Yes,No major blocker,23,32,0,0,0,0,0
BED-RJ6-2023-00109,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-02,Surgical Ward,RJ6-02-0109,2023-08-21T22:30:00,2023-08-21T22:56:00,2023-08-21T23:16:00,2023-08-21T23:16:00,2023-08-21T23:16:00,2023-08-21T23:16:00,2023-08-21T23:16:00,120,46,Under 1 hour,Yes,No major blocker,7,20,19,0,0,0,0
BED-RJ6-2023-00110,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-01,Medical Ward,RJ6-01-0110,2023-05-08T10:50:00,2023-05-08T11:59:00,2023-05-08T12:20:00,2023-05-08T12:20:00,2023-05-08T12:20:00,2023-05-08T12:20:00,2023-05-08T12:20:00,120,90,1-2 hours,Yes,Cleaning queue,69,21,0,0,0,0,0
BED-RJ6-2023-00111,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,Critical Care,RJ6-03-0111,2024-02-07T04:20:00,2024-02-07T05:08:00,2024-02-07T05:38:00,2024-02-07T05:38:00,2024-02-07T05:38:00,2024-02-07T05:38:00,2024-02-07T05:38:00,120,78,1-2 hours,Yes,Cleaning queue,40,30,8,0,0,0,0
BED-RJ6-2023-00112,2023/24,RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,RJ6-SITE-03,General Ward,RJ6-03-0112,2023-07-11T08:00:00,2023-07-11T08:16:00,2023-07-11T09:01:00,2023-07-11T09:01:00,2023-07-11T09:01:00,2023-07-11T09:01:00,2023-07-11T09:01:00,120,61,1-2 hours,Yes,No major blocker,16,45,0,0,0,0,0
BED-RHQ-2023-00001,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-03,General Ward,RHQ-03-0001,2023-12-29T18:10:00,2023-12-29T19:24:00,2023-12-29T20:10:00,2023-12-29T21:51:00,2023-12-29T20:10:00,2023-12-29T20:10:00,2023-12-29T21:51:00,120,221,2-4 hours,No,Clinical hold / late discharge,23,46,0,0,101,0,51
BED-RHQ-2023-00002,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-05,General Ward,RHQ-05-0002,2023-06-23T16:20:00,2023-06-23T16:40:00,2023-06-23T17:33:00,2023-06-23T19:03:00,2023-06-23T17:33:00,2023-06-23T17:33:00,2023-06-23T19:03:00,120,163,2-4 hours,No,No major blocker,20,53,0,0,90,0,0
BED-RHQ-2023-00003,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-02,General Ward,RHQ-02-0003,2023-04-06T16:30:00,2023-04-06T17:21:00,2023-04-06T17:44:00,2023-04-06T17:44:00,2023-04-06T17:44:00,2023-04-06T17:44:00,2023-04-06T17:44:00,120,74,1-2 hours,Yes,No major blocker,22,23,0,0,0,0,29
BED-RHQ-2023-00004,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-07,General Ward,RHQ-07-0004,2024-02-20T06:20:00,2024-02-20T08:37:00,2024-02-20T09:10:00,2024-02-20T09:10:00,2024-02-20T09:10:00,2024-02-20T09:10:00,2024-02-20T09:10:00,120,170,2-4 hours,No,Clinical hold / late discharge,17,33,0,0,0,0,120
BED-RHQ-2023-00005,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-03,General Ward,RHQ-03-0005,2023-10-06T06:50:00,2023-10-06T06:58:00,2023-10-06T07:28:00,2023-10-06T07:28:00,2023-10-06T07:28:00,2023-10-06T07:28:00,2023-10-06T07:28:00,120,38,Under 1 hour,Yes,No major blocker,8,30,0,0,0,0,0
BED-RHQ-2023-00006,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-10,Surgical Ward,RHQ-10-0006,2023-12-19T10:40:00,2023-12-19T10:59:00,2023-12-19T11:53:00,2023-12-19T11:53:00,2023-12-19T11:53:00,2023-12-19T11:53:00,2023-12-19T11:53:00,120,73,1-2 hours,Yes,No major blocker,19,54,0,0,0,0,0
BED-RHQ-2023-00007,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-10,General Ward,RHQ-10-0007,2024-03-08T05:10:00,2024-03-08T06:14:00,2024-03-08T06:44:00,2024-03-08T06:44:00,2024-03-08T06:44:00,2024-03-08T06:44:00,2024-03-08T06:44:00,120,94,1-2 hours,Yes,Cleaning queue,64,30,0,0,0,0,0
BED-RHQ-2023-00008,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-05,Surgical Ward,RHQ-05-0008,2023-08-03T20:00:00,2023-08-03T21:09:00,2023-08-03T21:50:00,2023-08-03T21:50:00,2023-08-03T21:50:00,2023-08-03T21:50:00,2023-08-03T21:50:00,120,110,1-2 hours,Yes,Cleaning queue,69,41,0,0,0,0,0
BED-RHQ-2023-00009,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-09,Surgical Ward,RHQ-09-0009,2023-06-28T22:50:00,2023-06-28T23:07:00,2023-06-28T23:30:00,2023-06-29T01:40:00,2023-06-28T23:30:00,2023-06-28T23:30:00,2023-06-29T01:40:00,120,170,2-4 hours,No,Maintenance clearance,17,23,0,0,130,0,0
BED-RHQ-2023-00010,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-04,Medical Ward,RHQ-04-0010,2024-01-25T08:50:00,2024-01-25T09:11:00,2024-01-25T09:42:00,2024-01-25T09:42:00,2024-01-25T09:42:00,2024-01-25T14:22:00,2024-01-25T14:22:00,120,332,4-8 hours,No,Deep clean / isolation reset,21,31,0,0,0,280,0
BED-RHQ-2023-00011,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-05,Medical Ward,RHQ-05-0011,2024-01-12T12:30:00,2024-01-12T13:02:00,2024-01-12T13:42:00,2024-01-12T16:20:00,2024-01-12T13:42:00,2024-01-12T13:42:00,2024-01-12T16:20:00,120,230,2-4 hours,No,Maintenance clearance,8,40,24,0,158,0,0
BED-RHQ-2023-00012,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-02,General Ward,RHQ-02-0012,2024-01-29T13:40:00,2024-01-29T14:04:00,2024-01-29T14:28:00,2024-01-29T16:57:00,2024-01-29T14:45:00,2024-01-29T14:28:00,2024-01-29T16:57:00,120,197,2-4 hours,No,No major blocker,24,24,0,17,149,0,0
BED-RHQ-2023-00013,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-10,General Ward,RHQ-10-0013,2024-01-03T15:50:00,2024-01-03T16:35:00,2024-01-03T17:29:00,2024-01-03T17:29:00,2024-01-03T17:29:00,2024-01-03T17:29:00,2024-01-03T17:29:00,120,99,1-2 hours,Yes,Cleaning queue,45,54,0,0,0,0,0
BED-RHQ-2023-00014,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-07,Critical Care,RHQ-07-0014,2023-05-31T00:10:00,2023-05-31T00:58:00,2023-05-31T01:18:00,2023-05-31T01:18:00,2023-05-31T01:18:00,2023-05-31T01:18:00,2023-05-31T01:18:00,120,68,1-2 hours,Yes,Awaiting porter / room release,17,20,31,0,0,0,0
BED-RHQ-2023-00015,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-06,Surgical Ward,RHQ-06-0015,2023-04-22T03:10:00,2023-04-22T04:14:00,2023-04-22T05:02:00,2023-04-22T05:02:00,2023-04-22T05:02:00,2023-04-22T05:46:00,2023-04-22T05:46:00,120,156,2-4 hours,No,Cleaning queue,64,48,0,0,0,44,0
BED-RHQ-2023-00016,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-09,Surgical Ward,RHQ-09-0016,2023-12-10T12:20:00,2023-12-10T12:42:00,2023-12-10T13:04:00,2023-12-10T13:04:00,2023-12-10T15:03:00,2023-12-10T13:04:00,2023-12-10T15:03:00,120,163,2-4 hours,No,Equipment not ready,22,22,0,119,0,0,0
BED-RHQ-2023-00017,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-02,Surgical Ward,RHQ-02-0017,2023-04-11T10:50:00,2023-04-11T11:20:00,2023-04-11T12:01:00,2023-04-11T12:01:00,2023-04-11T12:01:00,2023-04-11T12:01:00,2023-04-11T12:01:00,120,71,1-2 hours,Yes,No major blocker,16,41,14,0,0,0,0
BED-RHQ-2023-00018,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-05,Medical Ward,RHQ-05-0018,2023-07-27T11:20:00,2023-07-27T11:42:00,2023-07-27T12:22:00,2023-07-27T12:22:00,2023-07-27T12:22:00,2023-07-27T12:22:00,2023-07-27T12:22:00,120,62,1-2 hours,Yes,No major blocker,22,40,0,0,0,0,0
BED-RHQ-2023-00019,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-05,General Ward,RHQ-05-0019,2023-05-21T23:50:00,2023-05-22T00:54:00,2023-05-22T01:34:00,2023-05-22T01:34:00,2023-05-22T01:34:00,2023-05-22T03:54:00,2023-05-22T03:54:00,120,244,4-8 hours,No,Awaiting porter / room release,5,40,59,0,0,140,0
BED-RHQ-2023-00020,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-09,Medical Ward,RHQ-09-0020,2023-04-26T22:10:00,2023-04-26T22:55:00,2023-04-26T23:29:00,2023-04-27T00:35:00,2023-04-27T00:04:00,2023-04-26T23:29:00,2023-04-27T00:35:00,120,145,2-4 hours,No,Cleaning queue,45,34,0,35,66,0,0
BED-RHQ-2023-00021,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-06,General Ward,RHQ-06-0021,2023-07-21T03:50:00,2023-07-21T05:07:00,2023-07-21T06:02:00,2023-07-21T06:02:00,2023-07-21T06:02:00,2023-07-21T06:02:00,2023-07-21T06:02:00,120,132,2-4 hours,No,Cleaning queue,50,55,0,0,0,0,27
BED-RHQ-2023-00022,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-05,Emergency Observation,RHQ-05-0022,2023-06-01T13:40:00,2023-06-01T14:01:00,2023-06-01T14:49:00,2023-06-01T14:49:00,2023-06-01T14:49:00,2023-06-01T14:49:00,2023-06-01T14:49:00,120,69,1-2 hours,Yes,No major blocker,21,48,0,0,0,0,0
BED-RHQ-2023-00023,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-02,General Ward,RHQ-02-0023,2023-09-05T19:20:00,2023-09-05T19:35:00,2023-09-05T19:59:00,2023-09-05T21:51:00,2023-09-05T19:59:00,2023-09-05T21:30:00,2023-09-05T21:51:00,120,151,2-4 hours,No,No major blocker,15,24,0,0,112,91,0
BED-RHQ-2023-00024,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-10,General Ward,RHQ-10-0024,2023-08-16T02:50:00,2023-08-16T04:19:00,2023-08-16T04:52:00,2023-08-16T04:52:00,2023-08-16T05:21:00,2023-08-16T04:52:00,2023-08-16T05:21:00,120,151,2-4 hours,No,Cleaning queue,73,33,16,29,0,0,0
BED-RHQ-2023-00025,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-06,General Ward,RHQ-06-0025,2024-01-18T21:20:00,2024-01-18T22:31:00,2024-01-18T23:03:00,2024-01-18T23:03:00,2024-01-18T23:03:00,2024-01-18T23:03:00,2024-01-18T23:03:00,120,103,1-2 hours,Yes,Cleaning queue,71,32,0,0,0,0,0
BED-RHQ-2023-00026,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-06,General Ward,RHQ-06-0026,2024-03-05T05:50:00,2024-03-05T05:58:00,2024-03-05T06:47:00,2024-03-05T06:47:00,2024-03-05T06:47:00,2024-03-05T09:28:00,2024-03-05T09:28:00,120,218,2-4 hours,No,Deep clean / isolation reset,8,49,0,0,0,161,0
BED-RHQ-2023-00027,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-06,Emergency Observation,RHQ-06-0027,2023-10-25T13:00:00,2023-10-25T13:51:00,2023-10-25T14:32:00,2023-10-25T14:32:00,2023-10-25T14:32:00,2023-10-25T14:32:00,2023-10-25T14:32:00,120,92,1-2 hours,Yes,Cleaning queue,51,41,0,0,0,0,0
BED-RHQ-2023-00028,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-10,Medical Ward,RHQ-10-0028,2024-01-07T18:40:00,2024-01-07T18:52:00,2024-01-07T19:11:00,2024-01-07T21:31:00,2024-01-07T20:02:00,2024-01-07T19:11:00,2024-01-07T21:31:00,120,171,2-4 hours,No,Equipment not ready,12,19,0,51,140,0,0
BED-RHQ-2023-00029,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-05,Surgical Ward,RHQ-05-0029,2023-10-26T17:10:00,2023-10-26T17:47:00,2023-10-26T18:09:00,2023-10-26T18:09:00,2023-10-26T19:11:00,2023-10-26T18:09:00,2023-10-26T19:11:00,120,121,2-4 hours,No,Awaiting porter / room release,5,22,32,62,0,0,0
BED-RHQ-2023-00030,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-01,Medical Ward,RHQ-01-0030,2023-06-08T21:10:00,2023-06-08T21:50:00,2023-06-08T22:30:00,2023-06-08T22:30:00,2023-06-08T22:30:00,2023-06-08T22:30:00,2023-06-08T22:30:00,120,80,1-2 hours,Yes,Cleaning queue,40,40,0,0,0,0,0
BED-RHQ-2023-00031,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-07,General Ward,RHQ-07-0031,2023-12-15T22:10:00,2023-12-15T22:20:00,2023-12-15T22:42:00,2023-12-15T22:42:00,2023-12-15T23:35:00,2023-12-15T22:42:00,2023-12-15T23:35:00,120,85,1-2 hours,Yes,No major blocker,10,22,0,53,0,0,0
BED-RHQ-2023-00032,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-04,General Ward,RHQ-04-0032,2024-02-13T11:30:00,2024-02-13T12:09:00,2024-02-13T12:46:00,2024-02-13T12:46:00,2024-02-13T12:46:00,2024-02-13T12:46:00,2024-02-13T12:46:00,120,76,1-2 hours,Yes,No major blocker,21,37,18,0,0,0,0
BED-RHQ-2023-00033,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-09,General Ward,RHQ-09-0033,2023-08-12T01:10:00,2023-08-12T02:07:00,2023-08-12T02:25:00,2023-08-12T02:25:00,2023-08-12T02:25:00,2023-08-12T02:25:00,2023-08-12T02:25:00,120,75,1-2 hours,Yes,Cleaning queue,57,18,0,0,0,0,0
BED-RHQ-2023-00034,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-03,Emergency Observation,RHQ-03-0034,2024-02-29T22:00:00,2024-02-29T23:25:00,2024-03-01T00:10:00,2024-03-01T02:39:00,2024-03-01T01:09:00,2024-03-01T00:10:00,2024-03-01T02:39:00,120,279,4-8 hours,No,Cleaning queue,70,45,15,59,149,0,0
BED-RHQ-2023-00035,2023/24,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,RHQ-SITE-07,Emergency Observation,RHQ-07-0035,2023-06-19T23:40:00,2023-06-20T01:50:00,2023-06-20T02:36:00,2023-06-20T02:36:00,2023-06-20T02:36:00,2023-06-20T02:36:00,2023-06-20T02:36:00,120,176,2-4 hours,No,Clinical hold / late discharge,5,46,0,0,0,0,125
